,userid,itemid
258,6796,22983
259,6796,37080
260,6797,4950
261,6797,28220
262,6797,21969
263,6797,7714
264,6794,7517
265,6794,31525
266,6794,6672
267,6794,3653
268,6794,17064
269,6794,34147
270,6795,20935
271,6795,33014
272,6795,10042
273,6795,579
274,6795,20217
275,6792,22626
276,6792,4597
277,6792,29689
278,6793,1371
279,6793,11606
280,6793,26786
281,6971,7075
282,6971,11116
283,6791,29623
284,6791,21863
285,6798,18803
286,6798,13471
287,6798,28460
288,6798,20703
289,6798,10042
290,6798,4926
291,6798,35283
292,6798,65
293,6799,2439
294,6799,14313
295,6799,36477
296,6799,27588
297,6799,1078
298,6799,81
299,6799,9044
300,6799,29987
301,11541,29413
302,11541,5054
303,11541,36306
304,11541,4462
305,11541,19602
306,11541,19738
307,11541,30244
308,11541,28834
309,11541,2795
310,11541,34227
311,11541,13477
312,11541,5456
313,11541,13934
314,11541,7138
315,11541,22374
316,11541,31525
317,11541,36391
318,4641,27104
319,4641,6283
320,4641,31406
321,4641,19006
322,11544,1183
323,11544,18192
324,11544,12855
325,11545,7278
326,11545,34276
327,11545,37279
328,11545,2699
329,11545,29718
330,11545,37155
331,11545,21193
332,270,37491
333,270,7830
334,270,22477
335,16252,7379
336,16252,25019
337,16252,36022
338,16252,28138
339,16251,699
340,16251,5683
341,16251,34972
342,16251,14413
343,16251,23717
344,16251,4021
345,16251,25126
346,16251,6896
347,16251,10023
348,16251,37496
349,16251,37605
350,16251,20403
351,16251,23618
352,16251,4179
353,16251,29855
354,16251,23049
355,16251,9385
356,16251,19409
357,16251,25463
358,16251,9443
359,16251,34349
360,16251,12232
361,16251,8579
362,16251,9243
363,16251,10772
364,16251,12398
365,16251,34266
366,16251,2859
367,16251,25617
368,16251,27740
369,16251,29629
370,16251,21772
371,16251,33255
372,16251,14002
373,16251,22221
374,16251,7410
375,16251,31602
376,16251,32112
377,16251,8427
378,16250,14537
379,16250,10461
380,16250,20915
381,16250,21317
382,16250,2714
383,16709,30922
384,16709,20226
385,16709,31503
386,16256,293
387,16256,3163
388,16256,13248
389,16256,16089
390,16255,14462
391,16255,27655
392,16255,25888
393,16255,33894
394,16255,36473
395,16255,26504
396,277,36675
397,277,18395
398,277,20882
399,277,18758
400,277,4618
401,277,24078
402,277,6042
403,277,23227
404,277,9938
405,277,23622
406,277,29982
407,277,32888
408,277,35472
409,277,18118
410,277,3145
411,277,30187
412,278,2861
413,278,8470
414,278,211
415,278,3285
416,278,31349
417,279,15478
418,279,2925
419,279,10656
420,279,6052
421,279,16607
422,279,28881
423,279,18491
424,279,1437
425,16259,26182
426,16259,37499
427,16259,35225
428,16259,9261
429,16259,17463
430,16259,9394
431,16259,5701
432,16259,13903
433,16259,35000
434,16259,12493
435,16259,9487
436,16259,3631
437,16259,8709
438,16259,15362
439,16259,11479
440,16706,20331
441,16706,9907
442,16706,9672
443,16706,16607
444,16701,23222
445,16701,28834
446,16701,12925
447,16701,5724
448,16701,25731
449,16701,5353
450,16701,16234
451,16701,36617
452,16701,6833
453,16701,26034
454,16701,6769
455,16701,10740
456,16701,14109
457,16701,33586
458,16701,33415
459,16701,11696
460,16701,10040
461,16701,8827
462,16701,4103
463,16701,13253
464,16700,10857
465,16700,18674
466,16700,6105
467,16703,36054
468,16703,30679
469,16703,21424
470,16703,30203
471,16702,18657
472,16702,14039
473,16702,28452
474,16702,10095
475,16702,20346
476,16702,37870
477,16702,16017
478,4646,19792
479,4646,867
480,4646,25555
481,4646,3683
482,4646,33661
483,4646,35197
484,4646,11795
485,12019,14045
486,12019,6433
487,12019,25475
488,12019,10368
489,12019,9580
490,12019,5691
491,12019,28282
492,12019,13072
493,12018,16514
494,12018,31938
495,12018,19805
496,2146,22436
497,2146,16451
498,2146,12171
499,2146,24955
500,2146,9182
501,2146,33522
502,2146,25724
503,2146,7174
504,2146,498
505,2146,29763
506,12015,18909
507,12015,7594
508,12015,30236
509,12014,30968
510,12014,2653
511,12014,32606
512,12014,17757
513,12014,33695
514,12014,17730
515,12014,9959
516,12014,31115
517,12017,25106
518,12017,15427
519,12017,16255
520,12016,5948
521,12016,8240
522,12016,12055
523,12016,12639
524,12016,38246
525,12016,112
526,12016,17871
527,12016,12819
528,12016,18016
529,12016,18752
530,12011,9282
531,12011,2426
532,12011,32054
533,12011,29533
534,12011,5558
535,12011,3867
536,12011,2401
537,12011,15738
538,12011,26600
539,12011,34236
540,12011,19792
541,12011,13941
542,12010,10173
543,12010,7133
544,12010,14789
545,12013,17741
546,12013,26267
547,12013,15563
548,12013,17330
549,12013,31329
550,12013,10156
551,12013,3663
552,12013,32807
553,12013,18443
554,12013,20080
555,12013,1196
556,12013,4303
557,12013,17607
558,12013,17258
559,12013,36627
560,12013,1679
561,12013,19108
562,12013,6435
563,12013,37990
564,12013,16088
565,12013,31810
566,12013,24919
567,12013,38187
568,12013,4964
569,12013,14000
570,12013,38042
571,12013,38179
572,12013,23528
573,12013,24838
574,12013,12847
575,12013,3211
576,12012,30610
577,12012,37907
578,12012,36912
579,12012,3953
580,15951,24034
581,15951,6714
582,15951,5624
583,15951,31397
584,15951,26984
585,15951,4374
586,15951,24307
587,15951,2014
588,15951,2107
589,15951,16390
590,15951,30846
591,15951,24543
592,15951,5884
593,15951,23531
594,15951,17421
595,15951,25132
596,15951,11750
597,15951,8376
598,15951,5755
599,15951,2851
600,15951,3566
601,15951,19254
602,15951,33269
603,15951,5962
604,15951,34966
605,15951,14060
606,15951,3771
607,15482,33754
608,15482,7695
609,15482,12749
610,15482,31975
611,15482,11351
612,15482,4774
613,15482,3528
614,15953,30358
615,15953,17086
616,15953,20902
617,15953,27564
618,15953,30003
619,15953,26380
620,15953,16533
621,15953,37478
622,15953,7520
623,15953,31451
624,15953,34250
625,15953,26199
626,15953,14404
627,15953,30022
628,15953,30864
629,15953,5048
630,10709,25391
631,10709,25347
632,15952,8025
633,15952,31777
634,15952,35174
635,15952,11700
636,15952,1343
637,9528,5292
638,9528,18636
639,9528,23186
640,9528,16209
641,9529,14429
642,9529,38112
643,9529,38006
644,9529,28581
645,9529,8836
646,9258,13477
647,9258,23044
648,9258,19042
649,9259,210
650,9259,23790
651,9259,34009
652,9259,1133
653,9259,2446
654,9259,29904
655,9259,33306
656,9259,27387
657,9256,340
658,9256,33815
659,9256,4457
660,9256,10276
661,9256,26382
662,9256,30138
663,9256,4342
664,9256,32973
665,9256,19623
666,9256,17538
667,9256,27858
668,9256,18584
669,9256,15285
670,9256,5160
671,9256,19742
672,9256,8640
673,9256,31202
674,9256,30815
675,9256,17808
676,9256,1489
677,9256,26572
678,9256,9967
679,9256,16931
680,9256,4230
681,9256,14120
682,9256,27017
683,9256,24167
684,9256,20402
685,9256,13090
686,9256,35156
687,9256,15462
688,9256,10158
689,9256,25402
690,9256,18328
691,9256,27367
692,9256,8960
693,9256,37730
694,9256,25643
695,9256,3883
696,9256,2362
697,9257,35639
698,9257,23993
699,9257,24674
700,9526,27775
701,9526,283
702,9526,31715
703,9526,27564
704,9526,23976
705,9526,13006
706,10700,33113
707,10700,2908
708,10700,27650
709,10700,35839
710,10700,7103
711,10700,32321
712,9520,32782
713,9520,30413
714,9520,23811
715,9520,23614
716,9520,21824
717,9520,7161
718,9520,36912
719,9520,8171
720,9520,26893
721,9520,32981
722,9520,19181
723,9520,7517
724,9520,26520
725,9520,35627
726,9520,19799
727,9520,23310
728,9520,16522
729,10706,12673
730,10706,34158
731,10706,32004
732,10706,12735
733,9250,33050
734,9250,32073
735,9250,24586
736,9250,17662
737,9250,6482
738,9250,21964
739,9250,16000
740,9250,31750
741,9250,36778
742,9250,8433
743,9250,18107
744,9523,15211
745,9523,14621
746,9523,26697
747,10418,32346
748,10418,20059
749,10418,19296
750,10418,17350
751,16833,34409
752,16833,11415
753,16833,20204
754,16833,8687
755,15957,19089
756,15957,23285
757,15957,22348
758,15957,28369
759,15957,2504
760,15957,37337
761,15957,15788
762,15956,7736
763,15956,23629
764,6484,10142
765,6484,750
766,6484,13626
767,4644,23072
768,4644,7711
769,934,33398
770,934,24534
771,934,9398
772,476,11169
773,476,4670
774,476,22612
775,476,11606
776,476,11012
777,476,3954
778,476,31284
779,476,18883
780,476,14279
781,6349,25417
782,6349,18520
783,6349,30685
784,6349,11463
785,6349,5453
786,6349,2849
787,6349,34535
788,10619,750
789,10619,24812
790,10619,29586
791,10619,13373
792,10619,33625
793,10619,19057
794,10619,3070
795,10619,3847
796,10619,23705
797,10619,22588
798,10619,9932
799,10619,9003
800,10619,35738
801,10619,29908
802,10619,25964
803,10619,20938
804,13748,14308
805,6415,2341
806,6415,22881
807,6415,27227
808,6415,20997
809,6415,5944
810,6415,9349
811,10618,4462
812,10894,25887
813,10894,12114
814,10894,14169
815,10894,10461
816,16230,32258
817,16230,15424
818,14729,31721
819,14729,7867
820,11953,22116
821,11953,9383
822,11953,12447
823,11953,1201
824,11953,6217
825,11953,34596
826,11953,500
827,11953,18956
828,11953,20702
829,11953,21514
830,11953,7541
831,11953,2151
832,11953,37043
833,3519,13906
834,3519,37016
835,3519,35993
836,3519,27774
837,3519,14536
838,3519,12024
839,3519,36365
840,3519,13931
841,3519,7305
842,3519,10783
843,3519,22466
844,3519,21108
845,3519,35045
846,3519,6975
847,3519,20961
848,3519,11479
849,3519,21720
850,3519,18137
851,3518,31897
852,3518,23100
853,3518,4862
854,3518,32173
855,3518,13108
856,3518,5889
857,3518,1165
858,3518,26435
859,1936,20184
860,1936,37917
861,1936,32925
862,1936,11578
863,1936,13127
864,1936,19695
865,1936,1494
866,1936,5896
867,3513,32280
868,3512,31602
869,3512,19722
870,3512,25835
871,3512,4589
872,3511,3693
873,3511,33563
874,3511,30815
875,3511,26107
876,3511,1601
877,3511,17927
878,3511,4457
879,3511,36666
880,3510,29332
881,3510,22465
882,3510,21938
883,3516,17378
884,3516,852
885,3516,37336
886,3516,340
887,3516,5652
888,3516,30965
889,3516,32689
890,3516,20552
891,3515,30728
892,3515,34602
893,3515,18080
894,3515,14248
895,3515,11678
896,3515,11273
897,3515,17653
898,3515,26514
899,3515,2042
900,3515,32482
901,3514,18297
902,3514,24560
903,3514,28079
904,3514,34693
905,3514,17361
906,3514,21899
907,3514,19324
908,3514,10986
909,3514,36795
910,2688,28888
911,2688,32954
912,2688,27489
913,2688,28581
914,2688,6426
915,2688,6997
916,2688,21565
917,2688,25887
918,2689,34281
919,2689,10617
920,2689,18728
921,2689,21450
922,2684,33415
923,2684,36948
924,2684,9615
925,2684,25116
926,2684,8220
927,2684,14209
928,2684,29231
929,2684,20428
930,2684,34180
931,2684,7309
932,2684,36808
933,2684,12659
934,2684,29202
935,2684,11196
936,2684,22841
937,2684,14546
938,2684,15941
939,2684,20790
940,2684,4499
941,2684,18204
942,2684,13934
943,2684,18280
944,2684,28834
945,2684,35156
946,2684,11429
947,2684,24587
948,2684,4457
949,2684,9079
950,2684,3442
951,2684,33985
952,2684,34075
953,2684,10797
954,2684,15213
955,2684,28452
956,2684,22170
957,2684,12893
958,2684,9208
959,2684,31219
960,2684,12979
961,2684,36689
962,2684,16427
963,2684,33563
964,2684,10973
965,2684,8373
966,2684,17879
967,2684,27846
968,2685,5925
969,2685,28888
970,2685,26673
971,2685,13141
972,2685,30998
973,2685,21983
974,2685,25462
975,2686,7289
976,2686,21763
977,2686,5962
978,2686,12585
979,2686,4494
980,2686,31201
981,2686,7128
982,2686,15929
983,2686,20883
984,2686,21786
985,2686,37702
986,2686,31704
987,2687,25887
988,2687,28389
989,2687,26819
990,2687,11779
991,2680,8955
992,2680,1004
993,2680,6713
994,2680,23719
995,2680,15549
996,2680,17907
997,2680,615
998,2680,21211
999,2681,5638
1000,2681,3642
1001,2681,14516
1002,2681,29380
1003,2681,3331
1004,2681,35927
1005,2681,21330
1006,2682,3511
1007,2682,19395
1008,2683,28156
1009,2683,33526
1010,2683,28473
1011,2683,28717
1012,2683,29684
1013,2683,27085
1014,2683,749
1015,2683,122
1016,14624,4067
1017,14624,7026
1018,14624,2533
1019,14624,29629
1020,14624,27707
1021,14624,36418
1022,14624,4478
1023,14624,14120
1024,14624,29791
1025,14624,34613
1026,14624,34910
1027,14624,1950
1028,14624,25050
1029,14625,23980
1030,14625,36599
1031,14625,16336
1032,14625,20460
1033,14625,10937
1034,14626,25130
1035,14626,14295
1036,14626,19234
1037,14626,7666
1038,14626,17844
1039,14626,9656
1040,14626,21928
1041,14627,22891
1042,14627,29433
1043,14627,3215
1044,14627,22000
1045,14627,19042
1046,14620,601
1047,14620,33710
1048,14620,9180
1049,14620,38024
1050,14620,4919
1051,14620,32526
1052,14620,11964
1053,14620,31899
1054,14620,25032
1055,14620,31134
1056,14620,28983
1057,14621,21695
1058,14621,27489
1059,14621,15781
1060,14621,6760
1061,14622,34226
1062,14622,36966
1063,14622,17790
1064,14622,14587
1065,14622,8532
1066,14622,4050
1067,14622,18097
1068,14622,32054
1069,14622,1516
1070,14622,24933
1071,15362,36378
1072,15362,9069
1073,15362,15555
1074,15362,9828
1075,15362,9446
1076,15362,33736
1077,15362,18593
1078,15362,8206
1079,15362,12529
1080,15362,17236
1081,15362,15734
1082,15362,36199
1083,15362,963
1084,15362,35701
1085,15362,28759
1086,15362,1058
1087,15362,31751
1088,15362,3189
1089,15362,23265
1090,15362,33092
1091,15362,4167
1092,15362,28775
1093,645,4998
1094,645,10034
1095,645,3669
1096,645,35851
1097,645,18435
1098,645,29242
1099,645,37660
1100,14628,29938
1101,14628,18702
1102,14628,16231
1103,14628,29903
1104,14628,26435
1105,14628,18608
1106,14628,7598
1107,14628,28721
1108,14628,27740
1109,14628,5348
1110,14628,17772
1111,14628,4549
1112,14628,20346
1113,14629,34250
1114,14629,9327
1115,14629,36543
1116,99,38153
1117,99,37135
1118,99,3878
1119,99,35213
1120,99,2507
1121,99,10042
1122,99,26928
1123,98,6596
1124,98,23265
1125,98,17621
1126,98,18834
1127,98,20417
1128,98,24578
1129,98,19000
1130,98,11873
1131,98,28550
1132,98,1538
1133,98,37491
1134,16232,35672
1135,16232,32738
1136,16232,35265
1137,16232,29491
1138,16232,37100
1139,16232,22383
1140,16232,27119
1141,16232,34694
1142,16232,12000
1143,16232,10593
1144,16232,5974
1145,16232,24137
1146,16232,4029
1147,16232,29785
1148,16232,13638
1149,16232,29322
1150,90,15632
1151,90,10390
1152,90,21002
1153,90,11155
1154,90,12512
1155,93,5398
1156,93,13888
1157,93,5110
1158,93,30528
1159,93,17623
1160,93,6661
1161,93,15653
1162,93,21731
1163,92,17779
1164,92,17959
1165,92,11738
1166,92,37781
1167,92,28444
1168,95,22761
1169,95,28069
1170,95,33048
1171,95,33123
1172,94,29012
1173,94,22067
1174,94,3564
1175,94,30486
1176,94,13100
1177,94,31415
1178,94,17441
1179,94,32726
1180,94,17282
1181,94,34450
1182,94,7877
1183,94,22023
1184,94,8456
1185,94,573
1186,94,6384
1187,94,30181
1188,94,1012
1189,94,1314
1190,94,37201
1191,94,38180
1192,94,4477
1193,94,34062
1194,94,16421
1195,94,22180
1196,94,11025
1197,94,33424
1198,94,6317
1199,97,7263
1200,97,20593
1201,97,11464
1202,97,30653
1203,97,908
1204,97,10147
1205,97,4433
1206,97,31077
1207,96,13888
1208,96,32482
1209,96,31583
1210,96,29712
1211,96,5055
1212,96,16600
1213,96,12713
1214,12007,28991
1215,12007,32594
1216,12007,16284
1217,12007,30314
1218,12007,26495
1219,12007,21786
1220,12007,25723
1221,12007,14631
1222,12007,26131
1223,12007,30241
1224,12007,26075
1225,12007,11669
1226,12007,32005
1227,12007,5701
1228,12007,13038
1229,12007,11292
1230,12007,18433
1231,12007,11509
1232,12007,27817
1233,12007,20625
1234,12007,4745
1235,12007,32401
1236,12007,20763
1237,12007,7607
1238,12007,32271
1239,12007,939
1240,13058,15755
1241,13058,3769
1242,13058,25882
1243,13058,35700
1244,13058,33359
1245,13058,22512
1246,13058,13886
1247,13058,5691
1248,13058,24026
1249,13058,38318
1250,13058,12013
1251,13058,29160
1252,13058,32315
1253,13058,14491
1254,13058,22351
1255,13058,23900
1256,13058,1275
1257,13058,3957
1258,13058,8780
1259,13058,32054
1260,13058,1843
1261,13059,34458
1262,13059,3397
1263,13059,11110
1264,13059,15094
1265,13059,195
1266,13052,36585
1267,13052,18670
1268,13052,2837
1269,13052,2656
1270,13052,26138
1271,13052,21995
1272,13053,20390
1273,13053,35156
1274,13053,3389
1275,13053,36363
1276,13053,14927
1277,13053,16924
1278,13053,34795
1279,13053,36984
1280,13050,19058
1281,13050,23333
1282,13050,25924
1283,13050,22806
1284,13050,27842
1285,13050,28449
1286,13050,19116
1287,13050,1235
1288,13050,23455
1289,13050,21034
1290,13050,24251
1291,13050,5789
1292,13051,25884
1293,13051,23398
1294,13051,29224
1295,13051,23706
1296,13051,13299
1297,13056,30928
1298,13056,19860
1299,13056,4568
1300,13056,12449
1301,13056,11782
1302,13056,13013
1303,13056,35885
1304,13056,23264
1305,13056,14848
1306,13056,13202
1307,13056,37041
1308,13056,29247
1309,13056,17726
1310,13056,23150
1311,13056,2490
1312,13056,19216
1313,13056,23148
1314,13056,30901
1315,13056,13387
1316,13056,20383
1317,13056,23239
1318,13056,21512
1319,13056,7255
1320,13056,7430
1321,13056,26818
1322,13057,21427
1323,13057,400
1324,13057,37998
1325,13057,12659
1326,13057,22441
1327,13054,28517
1328,13054,8698
1329,13054,21635
1330,4526,9827
1331,4526,32757
1332,4526,11873
1333,11664,27974
1334,11664,17483
1335,11664,19949
1336,13912,29402
1337,13912,26938
1338,13912,18
1339,13912,36848
1340,13912,12151
1341,13912,9110
1342,13912,25906
1343,13912,8640
1344,13912,10968
1345,13912,2179
1346,13912,3268
1347,13912,5749
1348,13912,17263
1349,13912,3009
1350,15080,25360
1351,15080,33882
1352,15080,23224
1353,15080,35308
1354,15080,22459
1355,14688,27442
1356,14688,27905
1357,14688,24917
1358,4525,20101
1359,4525,12997
1360,4525,24321
1361,4525,17527
1362,4525,11005
1363,4525,3189
1364,4525,10000
1365,4525,9111
1366,4525,25815
1367,4525,7036
1368,4525,25521
1369,4525,9353
1370,4525,33552
1371,4525,28906
1372,4525,15836
1373,4525,10696
1374,518,23588
1375,518,19967
1376,518,7898
1377,16237,35292
1378,16237,2837
1379,16237,1473
1380,16237,16679
1381,16237,20340
1382,10710,16242
1383,10710,22390
1384,10710,37815
1385,10710,37593
1386,10693,28586
1387,10693,17470
1388,10693,6670
1389,10693,9366
1390,10693,8175
1391,10693,19042
1392,10693,27242
1393,10693,35418
1394,10693,34738
1395,10693,23700
1396,15366,6290
1397,15366,29490
1398,15366,36572
1399,15366,14073
1400,15366,28548
1401,15366,7886
1402,15366,6210
1403,1177,7035
1404,1177,5525
1405,1177,7595
1406,1177,35592
1407,1176,1252
1408,1176,34841
1409,1176,9922
1410,1176,22459
1411,1176,35623
1412,1176,27847
1413,1176,20145
1414,1176,23499
1415,1176,18826
1416,1176,18411
1417,1176,20494
1418,1176,34041
1419,1176,28466
1420,1176,17186
1421,1176,37065
1422,1175,37550
1423,1175,26258
1424,1175,12332
1425,1175,3647
1426,1175,33228
1427,1175,3039
1428,1174,25970
1429,1174,27458
1430,1174,22846
1431,1174,21747
1432,1174,26471
1433,1174,28001
1434,1174,11239
1435,1174,33980
1436,1173,31180
1437,1173,22024
1438,1173,32377
1439,1173,12828
1440,1173,25518
1441,1173,14468
1442,1173,28261
1443,1173,20379
1444,1172,23585
1445,1172,6182
1446,1172,13195
1447,1172,25954
1448,1172,9755
1449,1172,18372
1450,1172,5355
1451,1172,28272
1452,1172,25777
1453,1172,13251
1454,1172,7958
1455,1172,30925
1456,1171,16882
1457,1171,7652
1458,1171,19666
1459,1170,509
1460,1170,35570
1461,1170,37608
1462,1170,452
1463,1170,13981
1464,1170,16752
1465,1170,18168
1466,1170,26996
1467,1179,33859
1468,1179,35475
1469,1179,13026
1470,1179,11952
1471,1179,8143
1472,1179,27297
1473,1179,2352
1474,1178,11607
1475,1178,19854
1476,1178,18300
1477,1178,24333
1478,1178,18293
1479,1178,32420
1480,1178,631
1481,1178,30546
1482,1178,16497
1483,1178,6461
1484,1178,27502
1485,1178,15836
1486,1178,30486
1487,1178,17237
1488,1178,15132
1489,1178,4167
1490,1178,8309
1491,1178,18155
1492,1178,15174
1493,1178,35799
1494,1178,14430
1495,1178,15957
1496,1178,19868
1497,1178,7114
1498,1178,23356
1499,1178,9565
1500,1178,496
1501,1178,4645
1502,1178,5377
1503,1178,30278
1504,1178,28512
1505,1178,9838
1506,1178,10757
1507,1178,279
1508,1178,14504
1509,1178,31209
1510,1178,31500
1511,1178,13394
1512,1178,26094
1513,1178,14968
1514,1178,14129
1515,1178,26644
1516,1178,31582
1517,1178,27785
1518,1178,21932
1519,1178,30820
1520,1178,21933
1521,1178,25715
1522,1178,3067
1523,1178,34504
1524,1178,6384
1525,1178,35888
1526,1178,15570
1527,1178,9354
1528,1178,34878
1529,1178,28102
1530,1178,10742
1531,1178,11954
1532,1178,17073
1533,1178,815
1534,1178,29648
1535,1178,37993
1536,1178,36300
1537,1178,4923
1538,1178,16672
1539,1178,7693
1540,1178,2888
1541,10580,34284
1542,10580,18755
1543,10580,27554
1544,10580,10772
1545,10580,3342
1546,10580,13366
1547,10580,32719
1548,510,21005
1549,510,3878
1550,510,7133
1551,510,35283
1552,510,12828
1553,510,29894
1554,510,1569
1555,510,6403
1556,510,27241
1557,510,7594
1558,510,31893
1559,510,10093
1560,510,30360
1561,510,34649
1562,510,17675
1563,11001,33346
1564,11001,4083
1565,1610,13963
1566,1610,25887
1567,1610,3368
1568,15367,5984
1569,15367,29519
1570,15367,14975
1571,4433,9079
1572,4433,33202
1573,4433,32183
1574,4433,19108
1575,4433,2258
1576,4433,29284
1577,4433,23877
1578,512,22009
1579,512,4212
1580,6832,29630
1581,6832,4926
1582,6832,18112
1583,6832,11606
1584,6832,14502
1585,7188,34929
1586,7188,15251
1587,7188,23358
1588,7189,29265
1589,7189,15166
1590,7189,4112
1591,7189,20346
1592,7189,37741
1593,7189,23301
1594,7189,11375
1595,4522,30650
1596,4522,11480
1597,4522,38338
1598,4522,24517
1599,4522,34361
1600,4522,22257
1601,4522,25589
1602,4522,17755
1603,4522,32635
1604,4522,8174
1605,4522,19712
1606,4522,22977
1607,4522,13572
1608,7180,18574
1609,7181,33803
1610,7181,36467
1611,7181,15961
1612,7181,24525
1613,7181,12080
1614,7181,10537
1615,7181,11952
1616,7181,6997
1617,7182,31899
1618,7182,20305
1619,7182,14874
1620,7183,23011
1621,7183,5366
1622,7184,37105
1623,7184,14381
1624,7184,24321
1625,7184,32690
1626,7184,31581
1627,7184,4132
1628,7184,30707
1629,7184,34945
1630,7184,27763
1631,7184,7133
1632,7184,5911
1633,7184,10742
1634,7184,31240
1635,7184,1973
1636,7184,9546
1637,7184,16213
1638,7184,31292
1639,7184,32887
1640,7184,19445
1641,7184,5408
1642,7184,30660
1643,7184,7421
1644,7184,2835
1645,7184,33725
1646,7184,25279
1647,7184,27381
1648,7184,18465
1649,7184,7331
1650,7184,10764
1651,7184,26745
1652,7185,21474
1653,7186,8882
1654,7186,638
1655,7186,10157
1656,7186,28253
1657,7186,7152
1658,7186,8780
1659,7187,35885
1660,7187,34306
1661,7187,34032
1662,7187,10465
1663,7187,6210
1664,7187,24600
1665,7187,12427
1666,7187,1643
1667,7187,21891
1668,7187,5038
1669,7187,282
1670,7187,37523
1671,7187,6953
1672,7187,5310
1673,7187,4545
1674,7187,38060
1675,7187,37936
1676,7187,698
1677,7187,6850
1678,7187,9558
1679,1227,12005
1680,1227,19124
1681,1227,2300
1682,1227,6931
1683,1227,27311
1684,1227,9084
1685,1227,23231
1686,1227,26241
